============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model inference         0.00%       0.000us         0.00%       0.000us       0.000us     276.954ms       114.75%     276.954ms      92.318ms           0 B           0 B           0 B           0 B             3  
                                               aten::mm         3.65%      10.139ms         5.28%      14.673ms      27.172us     207.347ms        85.91%     207.347ms     383.976us           0 B           0 B       6.79 GB       6.79 GB           540  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us     203.790ms        84.44%     203.790ms     381.630us           0 B           0 B           0 B           0 B           534  
                     aten::_efficient_attention_forward         0.29%     803.606us         0.73%       2.031ms      28.212us      16.781ms         6.95%      16.781ms     233.063us       1.12 KB          24 B     581.41 MB           0 B            72  
fmha_cutlassF_f32_aligned_32x128_gmem_sm80(PyTorchMe...         0.00%       0.000us         0.00%       0.000us       0.000us      16.781ms         6.95%      16.781ms     233.063us           0 B           0 B           0 B           0 B            72  
                                              aten::mul         1.97%       5.464ms         3.27%       9.095ms      11.483us       6.493ms         2.69%       6.493ms       8.198us           0 B           0 B       6.91 GB       6.91 GB           792  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.802ms         1.99%       4.802ms       7.411us           0 B           0 B           0 B           0 B           648  
                                              aten::cat         1.12%       3.115ms         1.82%       5.059ms      14.054us       3.829ms         1.59%       3.829ms      10.637us           0 B           0 B       2.33 GB       2.33 GB           360  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       3.647ms         1.51%       3.647ms      12.665us           0 B           0 B           0 B           0 B           288  
