============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model inference         0.00%       0.000us         0.00%       0.000us       0.000us     274.538ms       114.47%     274.538ms      91.513ms           0 B           0 B           0 B           0 B             3  
                                               aten::mm         3.67%      10.100ms         5.20%      14.310ms      26.500us     206.009ms        85.90%     206.009ms     381.498us           0 B           0 B       6.79 GB       6.79 GB           540  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us     202.462ms        84.42%     202.462ms     379.142us           0 B           0 B           0 B           0 B           534  
                     aten::_efficient_attention_forward         0.29%     796.533us         0.72%       1.992ms      27.666us      16.660ms         6.95%      16.660ms     231.395us       1.12 KB           8 B     581.41 MB           0 B            72  
fmha_cutlassF_f32_aligned_32x128_gmem_sm80(PyTorchMe...         0.00%       0.000us         0.00%       0.000us       0.000us      16.660ms         6.95%      16.660ms     231.395us           0 B           0 B           0 B           0 B            72  
                                              aten::mul         2.02%       5.574ms         3.23%       8.903ms      11.241us       6.487ms         2.70%       6.487ms       8.190us           0 B           0 B       6.91 GB       6.91 GB           792  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.795ms         2.00%       4.795ms       7.399us           0 B           0 B           0 B           0 B           648  
                                              aten::cat         1.14%       3.141ms         1.80%       4.953ms      13.759us       3.805ms         1.59%       3.805ms      10.569us           0 B           0 B       2.33 GB       2.33 GB           360  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       3.624ms         1.51%       3.624ms      12.583us           0 B           0 B           0 B           0 B           288  
