============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model inference         0.00%       0.000us         0.00%       0.000us       0.000us     274.864ms       114.78%     274.864ms      91.621ms           0 B           0 B           0 B           0 B             3  
                                               aten::mm         3.81%      10.507ms         5.41%      14.929ms      27.647us     205.717ms        85.91%     205.717ms     380.957us           0 B           0 B       6.79 GB       6.79 GB           540  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us     202.166ms        84.42%     202.166ms     378.588us           0 B           0 B           0 B           0 B           534  
                     aten::_efficient_attention_forward         0.30%     827.969us         0.75%       2.065ms      28.679us      16.574ms         6.92%      16.574ms     230.199us       1.12 KB          16 B     581.41 MB           0 B            72  
fmha_cutlassF_f32_aligned_32x128_gmem_sm80(PyTorchMe...         0.00%       0.000us         0.00%       0.000us       0.000us      16.574ms         6.92%      16.574ms     230.199us           0 B           0 B           0 B           0 B            72  
                                              aten::mul         2.07%       5.697ms         3.30%       9.097ms      11.487us       6.482ms         2.71%       6.482ms       8.184us           0 B           0 B       6.91 GB       6.91 GB           792  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.794ms         2.00%       4.794ms       7.398us           0 B           0 B           0 B           0 B           648  
                                              aten::cat         1.17%       3.220ms         1.84%       5.070ms      14.082us       3.813ms         1.59%       3.813ms      10.593us           0 B           0 B       2.33 GB       2.33 GB           360  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       3.632ms         1.52%       3.632ms      12.612us           0 B           0 B           0 B           0 B           288  
