============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model inference         0.00%       0.000us         0.00%       0.000us       0.000us     275.109ms       114.21%     275.109ms      91.703ms           0 B           0 B           0 B           0 B             3  
                                               aten::mm         3.61%       9.947ms         5.19%      14.322ms      26.523us     207.000ms        85.94%     207.000ms     383.333us           0 B           0 B       6.79 GB       6.79 GB           540  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us     203.431ms        84.45%     203.431ms     380.957us           0 B           0 B           0 B           0 B           534  
                     aten::_efficient_attention_forward         0.29%     792.666us         0.73%       2.013ms      27.952us      16.675ms         6.92%      16.675ms     231.603us       1.12 KB          16 B     581.41 MB           0 B            72  
fmha_cutlassF_f32_aligned_32x128_gmem_sm80(PyTorchMe...         0.00%       0.000us         0.00%       0.000us       0.000us      16.675ms         6.92%      16.675ms     231.603us           0 B           0 B           0 B           0 B            72  
                                              aten::mul         1.95%       5.370ms         3.15%       8.703ms      10.989us       6.490ms         2.69%       6.490ms       8.195us           0 B           0 B       6.91 GB       6.91 GB           792  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.799ms         1.99%       4.799ms       7.405us           0 B           0 B           0 B           0 B           648  
                                              aten::cat         1.11%       3.072ms         1.77%       4.884ms      13.568us       3.827ms         1.59%       3.827ms      10.631us           0 B           0 B       2.33 GB       2.33 GB           360  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       3.645ms         1.51%       3.645ms      12.655us           0 B           0 B           0 B           0 B           288  
